,Company Name,Job Role,Salary,Job Decription,Department,Required Exp,posted_date,web_link
395,US Technology,Test Analyst,NA,"Salesforce Automation Tester JDJob Description:As the Salesforce Automation QA; you will be working on the Salesforce platform to develop and execute automated test to ensure product quality. You must have a solid background in Object Oriented programming and a solid understanding of latest Quality Engineering Frameworks. You will be responsible for Quality Engineering through all phases of the development lifecycle and be well versed in full stack (backend & frontend) testing.Responsibilities:  Works collaboratively with stakeholders to understand project objectives; gather automation requirement; design automated tests; troubleshoot issues; and implement scalable test automation solutions. Design; Develop and manage automated testing artifacts to ensure proper reuse; versioning; backups; organization and retention. Constantly evaluates test automation strategy and approach to identify areas of improvement (i.e. test automation frameworks; dynamic data collection methodologies; coding standards; components and object repository methods; etc.) Compiles test results data; prepares and reports test results both formally and informally. Communicates results information to technical and non-technical audiences. Actively work with development and infrastructure teams for integrating test automation as an integral part of continuous delivery pipeline.Key Role Requirement: Minimum 5-8 years of test automation experience. Solid understanding of object oriented programming; design and debugging skills.  Proficiency in at least one Object Oriented programming language Java; C#. Proven experience developing automated test systems using Selenium and TestNG. Working knowledge of databases and SQL. Good understanding of Service Oriented Architecture; and working with RESTful APIs; SOAP; XML or JSON. Comprehension of how HTML; CSS; JavaScript and Ajax are used throughout web applications. Strong technical and testing skills - Knowledge of various software testing strategies and approaches. Experience in testing web based application in SAAS architecture. Understanding of Agile/Scrum methodology. Excellent communication; interpersonal and collaborative skills. Demonstrated ability to work and communicate effectively as part of a distributed team. Passionate about leveraging test automation to dramatically increase speed and quality of software delivery processes.,",Testing,5 to 8 Yrs," Sep 29, 2020
                                ",https://www.shine.com/jobs/test-analyst/us-technology/11018976/
396,US Technology,Developer III - Software Engineer,NA,"PowerBuilder Developer 5-7 years of PowerBuilder experience required Strong PowerBuilder coding expertise on version 11.5 or above. 3+ years of PFC (PowerBuilder Foundation Classes) preferred. 2-3 years of .Net experience required DBMS knowledge is mandatory(Informix preferably).  Strong skills in creating SQL objects; writing database scripts; tuning the queries for optimization and preparing Packages; Stored Procedures; Functions; and Triggers are required. Outstanding analytical skills - Self-starter; someone who naturally takes initiative; is pro-active and can work independently on a variety of projects. Knowledge of structured programming; object-oriented programming; and relational database constructs. Knowledge on web service implementation in PowerBuilder is an added advantage. Must be able to hit the ground running - In-house base object inheritance; client server experience Good communication skills. Must be competent working through all phases of the SDLC; in either a team environment or independently. Ability to write technical documents and provide adequate documentation in code and in formal formats. should be a good team player,",General / Other Software,2 to 3 Yrs," Sep 29, 2020
                                ",https://www.shine.com/jobs/developer-iii-software-engineer/us-technology/11018998/
397,US Technology,Sr. Software Developer,NA,"The ideal candidate must possess excellent written and verbal communication skills with the ability and knowhow to collaborate effectively with domain experts and IT leadership team.Required QualificationsStrong skills and experience in managing Production K8s clusters in larger scaleStrong knowledge in Kubernetes and AWS cloud platforms Minimum 6 years of experience in Kubernetes and AWS platformsExperience in python or ansible scripting.Good knowledge in CICD tools like Gitlab; JenkinsGood communication skillsAble to work in shifts including Night shiftsResponsibilities Work tightly with our customers; understand and capture their requirements Design and build distributed systems Contribute and fix bugs in upstream Kubernetes and opensource community(written in Go) Having interest to dive into OpenShift and Rancher Work with your fellow engineers and the community to make the world a better place Knowledge of Linux software packaging; distribution; and configuration Strong organizational and time-management abilities Degree in a relevant technical field; additional certification such as CKA (Certified Kubernetes Administrator) will be a bonus You are an active open source advocate and cloud-native community lover You'd love to code and contribute your work to Kubernetes community You've experience with Docker Swarm; DC/OS; Cloud Foundry; OpenStack; CloudStack; AWS; GCP or Azure Skill Set /Technology Requirement: Kubernetes; AWS; Microsoft Azure; GCP; RedHat Linux; Salt stack; Terraform; Git; GitOps; Python; Golang; Microservices; Service mesh Should have K8s Certified Admins; Kubernetes and AWS knowledgeMinimum Qualifications Minimum 8 plus years of experience in all relevant area.,",Embedded / System Software,6 to 8 Yrs," Sep 28, 2020
                                ",https://www.shine.com/jobs/sr-software-developer/us-technology/11016966/
398,US Technology,Systems Analyst,NA,"SALESFORCE.COM (SFDC) SENIOR DEVELOPER / DEVELOPER - JOB DESCRIPTIONOVERALL EXPERIENCE SFDC System Analyst/Developer: 5-6 years IT industry total experience; with 3-4 years specifically in Salesforce.com development (coding) and implementation; administration; and configuration. SFDC Senior System Analyst/Senior Developer: 8-9 years IT industry total experience; with 5-6 years specifically in Salesforce.com development; and implementation; administration; and configuration. The Salesforce development (coding) experience as stated above must be in Apex and Visualforce and Lightning; and any affiliated coding technologies required for Salesforce like Java-script frameworks. Any prior experience with other technologies like Java/.Net is highly preferred Candidate should have strong hands-on experience in Apex/Visualforce and Lightning coding; and in Salesforce administration; configuration and customization; including reports and dashboards Excellent communication and be able to coordinate with and get Knowledge Transition from Onsite (USA-based) salesforce development teams; and interact with IT/Business stakeholders thereSALESFORCE.COM CERTIFICATIONS Must Have: Developer Certification (Platform Dev 1) and AppBuilder Certification Desirable: Advanced Developer Certification (DEV 501 or Platform Dev 2) completed in full (all 3 parts) Good to Have: Advanced Admin (ADM301) or Consultant (Sales Cloud/Service Cloud) Certifications FORCE.COM PLATFORM DEVELOPMENT SKILLS NEEDED Must Have: Experience of atleast 4 Actual Projects in Salesforce.com LIGHTNING version; including working on Aura framework; and creating Lightning components. Strong implementation knowledge in Salesforce Service Cloud Candidate should have Strong Experience with Visualforce; Apex; Triggers; Eclipse IDE; Salesforce Object Query Language (SOQL) and Java-script. Hands-on experience on Sales; Service; Community Clouds. Strong Problem-solving skills; with ability to get multiple solutions for/approaches to solve a problem/scenario Thorough knowledge of coding best practices; and understanding the limitations of Apex coding Integrate with Force.com Web services including SOAP; WSDL; REST; SSL standards; security models and typical API client architecture. Plus experience in working with Force.com Bulk API and the Metadata API Implementation knowledge of workflow rules; validation rule; approval process; reports and dashboards Experience using Apex Data Loader (or other ETL tools like Informatica or Boomi or Cast Iron or Mulesoft) Experience with database development; SQL or PL/SQL; database schemas; stored procedures is essential Follow unit testing and test class best practices; and be capable of coding for positive/negative scenarios Must have experience with production deployment using change-set/eclipse/ANT migration tool; and working on solving deployment errors Knowledge on HTML/HTML5; CSS; XML; AJAX; Web-services; Google APIs; JQuery/any other java-script framework. Object oriented programming experience in J2EE/.Net platforms. Candidate should have very good understanding of Salesforce Admin activities like user creation; role/profile set up; Security set up etc  Strong hands-on experience with administration; configuration; customization and development within Salesforce.com; and also in reports and dashboards Customize and configure SFDC objects; data fields; page layouts; record types; workflows; document templates; reports and dashboards Good to have Experience in Salesforce mobile using Salesforce1/vfmobile; Heroku; Radian6; Einstein,",General / Other Software,3 to 4 Yrs," Sep 28, 2020
                                ",https://www.shine.com/jobs/systems-analyst/us-technology/11017699/
399,TRYZENS Limited,eCommerce Analytics & Optimisation Specialist,NA,"DescriptionWe are looking for eCommerce Analytics and Optimisation Specialist who can analyse and draw insights from qualitative and quantitative data to inform project roadmaps, coordinating with development and design teams to deliver excellent results for existing and prospective customers that will enable them to grow their online offering, generating revenue and improving customer experience and profitability.",Sales / BD,4 to 8 Yrs," Sep 26, 2020
                                ",https://www.shine.com/jobs/ecommerce-analytics-optimisation-specialist/tryzens-limited/10897650/
400,US Technology,Sr. Technical Lead,NA,"Senior Technical LeadDescription: UST Global is looking for a highly energetic and collaborative Technical Project Lead. Proven record of success in driving concurrent projects from diverse verticals; in a distributed environment. Should have experience leading Application Support Projects and Infrastructure CI/CD related Projects. Responsibilities/Requirements:  Strong technical knowledge in CICD with specializations in AWS; DevOps  Strong experience in DevOps (Terraform; Ansible; Gitlab ; Docker; Kubernetes) Proven development and/or DevOps experience deploying and maintaining multi-tiered infrastructure and web applications Should have Driven DevOps; CI/CD tool chain adoption in Projects Successfully led a wide spectrum of Development & Application Support projects  Strong ability to manage workload and handling simultaneous concurrent workstream Experience in managing and collaborating teams of Consultants; Leads and Architect  Experience of data driven insights leadership including defining KPI's as well as deep analysis of customer usage data. Proven ability to collaborate across teams and across levels of management. Good business acumen and strong client relationship management skills  Impeccable communication skills; work with strong integrity; ethics and people-values  Highly organized individual with strong interpersonal skills to effectively drive from Design to Implementation Adapt in talent retention and employee motivation techniques  Pre-emptive Risk management skills Good understanding of Telecom and Networking domain will be an added advantage,",IT Operations / EDP / MIS,3 to 5 Yrs," Sep 26, 2020
                                ",https://www.shine.com/jobs/sr-technical-lead/us-technology/11015437/
401,US Technology,Systems Analyst,NA,"Description: UST Global is looking for talented Kafka Administrator with minimum of 10+ years of Hands-on development experience & architectural vision; and a deep understanding of the messaging platforms architecture and internals of how it works; along with the interplay of architectural components: brokers; Zookeeper; Producers/Consumers; Kafka Connect; Kafka StreamsResponsibilities/Requirements:  Experience with Kafka Streams / KSQL architecture and associated clustering model Strong fundamentals and experience in Kafka administration; configuration; and troubleshooting Ability to execute; evaluate and fine-tune Performance of Kafka clusters; and its fault-tolerance model supporting High Availability and setting up Disaster Recovery Prior Experience with managing Rabbit MQ cluster on a Kubernetes platform; setting up of topics; data replication between clusters. Comfortable with designing and developing test API's (Producer and Consumer) to validate the Kafka Cluster setup. Able to evaluate Kafka metrics using ELK Kibana; Grafana; or any other visualization tools. Demonstrated use of Kafka; SQS; RabbitMQ; or other messaging frameworks Working knowledge of one or more cloud based environments (e.g. AWS; Google Cloud; Azure) Strong problem-solving skills and a passion for debugging complex issues and mature code Experience with using agile methodologies for software development Experience with developing KSQL queries and best practices of using KSQL vs streams Strong knowledge of the Kafka Connect framework; with experience using several connector types: HTTP REST proxy; JMS; File; SFTP; JDBC; Splunk; Salesforce Knowledge of connectors available from Confluent and the community The familiarity of the Schema Registry and its management Best practices to optimize the Kafka ecosystem based on use-case and workload; e.g. how to effectively use topic; partitions; and consumer groups to provide optimal routing and support of UDF and UDAF Scripting proficiency with Java/Scala/node.js and best practices in development Experience with monitoring Kafka infrastructure along with related components (Connectors; KStreams; and other producers/consumer apps) Familiarity with Confluent Control Center; or have worked on Kafka Monitoring Tool (UI). Familiar with: MongoDB; RabbitMQ; Elasticsearch; Redis; NGINX; and PostgreSQL. Familiar with AWS Managed Kafka Services (MKS). Strong knowledge of networking and infrastructure. Solid experience with tools CI (e.g.; Jenkins); Server Config Mgmt (e.g.; Ansible; Chef; Puppet); Containers and Container Services (e.g.; Docker; Kubernetes) Ability to work in fast-paced and dynamically changing environment. Ability to lead the effort; and work with minimum supervision.,",IT Operations / EDP / MIS,10 to 13 Yrs," Sep 26, 2020
                                ",https://www.shine.com/jobs/systems-analyst/us-technology/11015927/
402,US Technology,Data Analyst,NA,"Data AnalystExpert in SQL and PL/SQL(or T-SQL) with more than 6years of relevant experience Minimum 3 years of experience in any of the Healthcare Payor Systems/Applications [like Health Rules Payor; FACETS; QNXT; AMISYS; MetaVance; HealthTrioExpress; Diamond Enterprise Etc.] and expert knowledge in respective data model3+ years of experience in high complex data warehouse environmentShould have experience and ability to Design; Develop; implement and optimize SQL; stored procedures and functionsShould have the ability to work closely with client business team to understand the business requirementGood experience in SQL Performance tuning and ability to troubleshoot performance issuesMust be a good team Should have the ability to work independently with no guidanceShould have high sense of ownership and qualityShould have experience in peer reviewExcellent communication skill Must have good data analysis and problem-solving skillsAbility to lead a team of 3 junior resourcesExperience in Data conversion; Reporting or ODS projects are plus,",DBA / Datawarehousing,3 Yrs," Sep 25, 2020
                                ",https://www.shine.com/jobs/data-analyst/us-technology/10997460/
403,The Charter School,Subject Teacher,NA,"Job Description
Very well versed with the subject and should be able to handle any concept of the subject at any given time
Able to apply the concepts into real life with examples, activities and projects
Able to understand the project through the respective subject perspective
Add value to the project by doing improvising,",General / Other Software,2 to 5 Yrs," Sep 25, 2020
                                ",https://www.shine.com/jobs/subject-teacher/the-charter-school/9885199/
404,The Charter School,Subject Teacher,NA,"Very well versed with the subject and should be able to handle any concept of the subject at any given time Able to apply the concepts into real life with examples, activities and projects Able to understand the project through the respective subject perspective Add value to the project by doing improvising,",Teacher / Tutor,3 to 8 Yrs," Sep 25, 2020
                                ",https://www.shine.com/jobs/subject-teacher/the-charter-school/9915002/
405,US Technology,Sr. Systems Analyst,NA,"Python Developer10+ Years of IT Experience. Strong Expertise in Python; Pandas; Keras; Multi Processing (Dask; Joblib; Celery; RabbitMQ; Redis). Must have expertise in Plans; designs; develops and tests software systems or applications for software enhancements and new products using Python. Good exposure to Python Frameworks Django; Flask and REST APIs. Experience in developing and maintaining RESTful APIs in Java and Python. Strong in Python Back end Programming and high level of trouble shooting. Deep understanding of machine learning technology. Research; experiment; build prototypes using machine learning applicable to the proposed solutions. Hands on experience in Python ML Packages(Scikit/Numpy). Apply machine learning; statistics and optimization techniques on the data set for different verticals. Conduct exploratory data analysis in high dimensions. Develop Vision; NLP or other text analytic components. Experience working collaboratively in an Engineering team with frequent communication with stakeholders. Expected to work with remote teams and teams across the company and expected to have the ability to work independently. Any additional skillset including Java/Angular/ReactJS would be a plus.,",Statistics / Analytics,10 to 12 Yrs," Sep 25, 2020
                                ",https://www.shine.com/jobs/sr-systems-analyst/us-technology/11013425/
406,US Technology,Systems Analyst,NA,"UST Global is looking for talented Technical Lead who has got technical expertise in all relevant areas. He/She will be working with on the of leading telecommunication provider in US. The ideal candidate should have the ability to work analytically in a problem-solving environment. The ideal candidate must possess excellent written and verbal communication skills with the ability and know how to collaborate effectively with domain experts and IT leadership team. Responsibilities/Requirements:  Solid Hands on in Technologies Java 1.8; Streams  Strong Hands on in Frameworks: Spring boot2; JPA; Hibernate  Strong understanding of Microservices architecture  Knowledge of cloud technologies (AWS/Azure) is a must  CI/CD tools: Jenkins  Repositories: Bitbucket; Github  RDBMS & SEARCH: Elasticserach 6; My SQL 5  Should be able to guide & manage Offshore team delivery  Should be involved in code review of team stories o Will be involved in code development,",IT Operations / EDP / MIS,1 to 6 Yrs," Sep 24, 2020
                                ",https://www.shine.com/jobs/systems-analyst/us-technology/11012249/
407,US Technology,Systems Analyst,NA,"UI Developer:Requirements: Solid knowledge on below Technologies Typesecript; React; Redux; react router; hooks Javascript; Nodejs;NPM Algorithm; Loops; Data structure HTML; CSS Version control: Git Good to have: Cloud Technologies like AWS; AWS SDK; AWS CLI; AzureMinimum Qualifications: Education qualification: B.Tech/B.E/MCA Technical qualification: 4+ years of experience in web app application development,",Web / Mobile Technologies,4 to 9 Yrs," Sep 24, 2020
                                ",https://www.shine.com/jobs/systems-analyst/us-technology/11012241/
408,US Technology,Infrastructure Specialist,NA,"UST Global is searching for a highly energetic Infrastructure Specialist with Hands on experience in Gitlab; YAML; pipeline setup-maintenance-troubleshooting-automation; scripting using Shell or Python; optimization and parameterization of properties files; Swagger/Open API specs; Docker; PCF; Kubernetes; AWS. Good to have familiarity with Java.Roles & Responsibilities:  Maintain and automate CI/CD pipelines Create automated Junit & Integration Tests; JaCoCo Plugin for code coverage; SonarQube; Fortify  Optimize resource utilization DB knowledge (Relational & NoSQL)  Excellent operational background to monitor; triage; analyze; recover and implement permanent fixes to reported issues Strong written and verbal communication. Ability to create operational reports. Good to have knowledge in PowerBI.Location: Trivandrum,",Network / System Administration,3 to 5 Yrs," Sep 24, 2020
                                ",https://www.shine.com/jobs/infrastructure-specialist/us-technology/11011703/
409,US Technology,Technical Lead,NA,"Hands On experience in Java Stack; who can develop the solution from ideation thru production. Role involves hands-on development; testing and fielding questions from stakeholders from IT and business. Develop products and web based applications Good communication skills and ability to interact and work with Senior Architects and Client stakeholders.  6-10 years of experience in Java; Spring Framework; Spring Boot; Spring Cloud; Microservice Architecture; AWS; REST; SOAP; JSON; XML; SQL; GraphQL; MongoDB; Oracle; MSSQL; PostgreSQL; Experience in Spring Cloud; Microservices and server less architecture with service fabric; functions and API apps; service bus; message queues. Create REST based services using API gateway Experience in JavaScript frameworks Angular; React; NodeJS JQuery; HTML5; CSS3; UI Development; UI/UX Design; Developing Mock screens/wireframes; responsive development and layout/component-based UI development Experience in Eclipse; GIT; Bitbucket etc. with Devops experience on AWS Experience in using common Web Libraries (JQuery; Bootstrap; Chart.js; D3; Data Tables; Material) Experience in working with Agile methods and processes,",General / Other Software,6 to 10 Yrs," Sep 24, 2020
                                ",https://www.shine.com/jobs/technical-lead/us-technology/11011702/
410,US Technology,Project Manager,NA,"Role: Technical Project ManagerDescription: UST Global is looking for a highly energetic and collaborative Technical Project Manager. Proven record of success in driving concurrent projects from diverse verticals; in a distributed environment. Should have experience managing Application Support Projects and Infrastructure CI/CD related Projects. Certified Project Management Professional (PMP) ; Certified Scrum Master (CSM)- will be an added advantageResponsibilities/Requirements:  Strong technical knowledge in CICD with specializations in AWS; DevOps  Proven development and/or DevOps experience deploying and maintaining multi-tiered infrastructure and web applications Should have Driven DevOps; CI/CD tool chain adoption in Projects Experience in Production support project and ready to take Oncall support role. Successfully led a wide spectrum of Development & Application Support projects  Strong ability to manage workload and handling simultaneous concurrent workstream Experience in managing and collaborating teams of Consultants; Leads and Architect  Experience of data driven insights leadership including defining KPI's as well as deep analysis of customer usage data. Proven ability to collaborate across teams and across levels of management. Capacity planning and forecasting; define and execute team rotation plans and maximize agility  Experience in project planning and scheduling tools - Microsoft Project; Agile Central (Rally); JIRA; etc.  Good business acumen and strong client relationship management skills  Impeccable communication skills; work with strong integrity; ethics and people-values  Highly organized individual with strong interpersonal skills to effectively drive from Design to Implementation Adapt in talent retention and employee motivation techniques  Pre-emptive Risk management skills; perform SWOT analysis and plan risk mitigation strategies Hands-on with PM tools such as Gantt/RACI charts; Fishbone diagram; Network diagrams; Critical Path Method; etc. - will be an added advantage  Good understanding of Telecom and Networking domain will be added advantage,",General / Other Software,8 to 10 Yrs," Sep 24, 2020
                                ",https://www.shine.com/jobs/project-manager/us-technology/11011610/
411,US Technology,Sr. Systems Analyst,NA,"Java Associate ArchitectDescription: UST Global is looking for a highly energetic Software architect with hands on skills in Java; Springboot MicroServices; Cassandra; Redis; MongoDB; Rabbit MQ; Pivotal Cloud Foundry; Apigee and AWS.Expertise working in Cloud Infrastructure Native environments. Experience working in DevOps model.Responsibilities/Requirements:  Interacts with company senior management to effect solutions for enterprise Business requirements  Guide architectural focus group as prime subject matter Expert in area of expertise.  Mentors Team members on new technologies in area of expertise Prepares and Maintains documents that include architecture diagrams; data models; and navigation maps in area of expertise  Analyze and prepare recommendations to address existing and potential trouble areas in systems and procedures across the organization as well as Design and recommendation on new solutions both in relation to hardware and software design.  Ready to Code/Hands-on  Location: Trivandrum,",Web / Mobile Technologies,4 to 7 Yrs," Sep 24, 2020
                                ",https://www.shine.com/jobs/sr-systems-analyst/us-technology/11011240/
412,US Technology,Systems Analyst,NA,"Responsibilities/Requirements: Solid knowledge on below Technologies Java 1.8+  Frameworks: Microservice Architecture (Spring boot2; Spring Cloud); JPA; Hibernate Strong knowledge on Elastic Search with background on installation; configuration & migration. Should be comfortable to identify solutions to finetune queries; perform reindexing; manage aliases and drive migration of Elastic Search 5.5 to Elastic Search 7+ CI/CD tools: Jenkins Repositories: Gitlab RDBMS: My SQL 5 Should be able to manage assigned tasks with minimal supervision Interested to learn new tools/technologies as per demands of the projectMinimum Qualifications: Education qualification : B.Tech/B.E/MCA Technical qualification : 6+ years of experience in Java application development Cloud experience (AWS/Azure) will be good to have. Should have innovative mindset and ability to identify solutions for given business/technical challenges.,",IT Operations / EDP / MIS,6 to 8 Yrs," Sep 24, 2020
                                ",https://www.shine.com/jobs/systems-analyst/us-technology/11011238/
413,US Technology,Sr. Systems Analyst,NA,": Sr System Analyst ( Kubernetes; Cloud Automation Engineer )Description:UST Global  is looking for talented Sr. System Analyst who has got technical expertise in all relevant areas. He will be working with on the of leading telecommunication provider in US. The ideal candidate should have the ability to work analytically in a problem-solving environment. The ideal candidate must possess excellent written and verbal communication skills with the ability and knowhow to collaborate effectively with domain experts and IT leadership team.Requirement:  Have a deep understanding of the Kubernetes; and are excited by the prospect of helping us taking the platform even further  Expert in Golang; or can demonstrate the ability to quickly ramp up  Passionate about large-scale distributed systems  Experienced in service mesh technologies  Experience in opensource development preferred  Continual re-evaluation of existing stack and infrastructure to maintain optimal performance; availability and security  Familiarity with compliance & security standards across the enterprise IT landscape  Experience with CI/CD systems such as Jenkins; GitLab CI  Experience with automation/configuration management using Terraform; Chef; Ansible or similar.  Developing automation to standardize and secure cloud services such as server operating system builds; including Red Hat Linux and Centos; that are compliant with enterprise standards and security policy.  Solving challenging problems involving system and environment internals; to provide solutions that are simple to use; but can be customized to meet customer needs.  Collaborating with stakeholders to test build releases and ensure builds provide a consistent core foundation for hosting government and commercial applications.  Supporting technologies and products; including AWS; Microsoft Azure; Google Cloud; RedHat Linux; CentOS; Saltstack; Terraform; Git; Python; GolangSoftSkills:  Love learning new technologies and sharing them with your team  Are passionate about working on cutting edge; high profile projects and are motivated by delivering solutions on an aggressive schedule  Have strong verbal and written communication skills; due to the dynamic nature of collaborations with customers; vendors; and other engineering teams to solve complex business problems together  Use your experience and leadership skills to motivate your teammates to deliver high quality results in a fast-paced work environment  Are obsessed with automation; simplicity; and smooth-running systems  Work with your fellow engineers and the community to make the world a better place  Strong organizational and time-management abilities  Work effectively with onsite/offshore teamsResponsibilities:  Work tightly with our customers; understand and capture their requirements  Design and build distributed systems  Contribute and fix bugs in upstream Kubernetes and opensource community(written in Go)  Having interest to work on TK8  Having interest to dive into OpenShift and Rancher  Work with your fellow engineers and the community to make the world a better place  Knowledge of Linux software packaging; distribution; and configuration  Strong organizational and time-management abilities  Degree in a relevant technical field; additional certification such as CKA (Certified Kubernetes Administrator) will be a bonus  You are an active open source advocate and cloud-native community lover  You'd love to code and contribute your work to Kubernetes community  You've experience with Docker Swarm; DC/OS; Cloud Foundry; OpenStack; CloudStack; AWS; GCP or Azure  Skill Set /Technology Requirement: Kubernetes; AWS; Microsoft Azure; GCP; RedHat Linux; Salt stack; Terraform; Git; GitOps; Python; Golang; Microservices; Service meshMinimum Qualifications  Minimum 12 years of experience in all relevant area.,",General / Other Software,12 to 14 Yrs," Sep 24, 2020
                                ",https://www.shine.com/jobs/sr-systems-analyst/us-technology/11011237/
414,Talent Zone Consultant,Software Engineer,NA,"Expertise in Python/nodejs (mandatory) lead a Team of 4-6 Members understanding of Any Search Server (such as Solr, Elasticsearch Etc.) working Knowledge in Aws (administration Desirable But Not Mandatory) java Desirable Not Mandatory solid Knowledge of Linux/unix SystemsSalary 7 Lac To 11 Lac P.A. Industry IT Software - Ecommerce / Internet Technologies Work Experience 3 - 5 Years Qualification Professional Degree
,",General / Other Software,3 to 5 Yrs," Sep 22, 2020
                                ",https://www.shine.com/jobs/software-engineer/talent-zone-consultant/10826133/
415,US Technology,Sr. Software Developer,NA,"Skills Tools  Programming Skills TSO ISPF, COBOL, JCL, SAS, VSAM, MVS, RACF, PL1, Assembler Technical Tools Expeditor, Endevor, CA7, TWS, Abend Aid, File Aid, IBM Debug, Fault Analyzer, SDF Screen Definition Facility , FTP, NDM CD Connect Direct , SyncsortResponsibilities and Requirements  Experience in application development and support. Create and review pseudo code technical functional specifications Reverse engineer the application code Engage with key stakeholders including business and project management teams to gather project requirements, Perform code reviews, create and review unit test plans, system integration test plans and user acceptance test plans. Engage with key stakeholders including business and project management teams to gather project requirements, perform impact analysis and provide solution design with documentation. Provide high level estimates, investigate issues, perform root cause analysis. Overall Five 5 plus years of experienceExperience in Mainframe, Assembler development.,",General / Other Software,3 to 5 Yrs," Sep 19, 2020
                                ",https://www.shine.com/jobs/sr-software-developer/us-technology/11002814/
416,US Technology,Solutions Architect,NA,"Solutions ArchitectEnterprise Integration Architect JD A&O CMSSkills Expectations Strong experience in problem formation; solution shaping; consensus building; solution realization; solution management. Experienced in security design for data in transit; data at warehouse; network boundaries; data lineage; integration architecture; cloud architecture; deployment architecture; etc. Experienced in implementations in Retail Banking; Auto finance; Systems integration with middleware and ESB; System migration from on premise to cloud Expert in Enterprise integration patterns; design patterns and data integration services (using Talend preferred). Experienced in devising hybrid-cloud solutions using AWS. Ability to design; develop; document; and support solutions utilizing design patterns; reference architectures; and best practices. Understanding of enterprise architecture industry trends. Able to evaluate market and industry trends within related technical domains. Must be able to lead; educate; and train other data engineers in the principles of good information architecture design. Possesses strong analytical skills to effectively create recommendations; influence decision-making; assess impacts; compare solutions; problem solving; and achieve business and/or technical objectives. Able to actively influence business partners and technology delivery teams to solve problems in a way that effectively and efficiently utilizes technology products and services Able to leverage business and financial acumen to provide informed solution recommendations. Able to provide strategic solutions tailored to meet business objectives. Good communications and facilitation skillsRoles and Responsibilities Actively engages in the Solution & Application Architecture. Proactively identifies / resolves complex and cross-organizational challenges. Builds sustainable; collaborative relationships across Enterprise technology teams; as well as; negotiates with vendor partners. Influences the evolution of our DevOps adoption of CI/CD processes and transition to a more focused shift-left model. Accountable for the Technology Innovation architecture and delivery team while removing obstacles and providing escalation path. Provides direct leadership including coaching for performance; individual & team development; as well as; workforce planning. Collaborate closely with business and engineering leadership; as well as directly with developers to ensure adherence to the product architecture Create a well thought out architecture strategy and manage the alignment to the product roadmaps Influential with key decision-makers to help shape the technology strategy Balance the tactical needs and business realities with strategic requirements Develop and govern overall architecture (including User Experience; authoring; information; application; mobility; analytics; virtualization & infrastructure architecture) Responsible for new technology roadmaps. Recommend which contemporary technologies will drive business value and plans to leverage across the organization for the key business models Partners with IT Leaders on business case development with careful consideration of migrating from current or legacy solutions and approaches Introduces reusable design components and recommends fitQualifications 10+ years of software development and architectural experience 4+ years of experience working as an architect on large and complex projects 3+ years of AWS experience and hybrid cloud implementation,",Web / Mobile Technologies,3 to 4 Yrs," Sep 19, 2020
                                ",https://www.shine.com/jobs/solutions-architect/us-technology/11002781/
417,US Technology,Sr. Software Developer,NA,"To onboard actionable dashboard resources..actionable dashboard workhealthcare knowledgetool development experienceetc technical ...,",Web / Mobile Technologies,6 to 9 Yrs," Sep 19, 2020
                                ",https://www.shine.com/jobs/sr-software-developer/us-technology/10996257/
418,US Technology,Lead II - Data Analysis,NA,"Technical Skills:Programming Languages: Python; Matlab; VHDL; VerilogMachine Learning: Deep Neural Networks; Keras; Scikit-learn; OpenCV; NLTK;Spacy; GANCloud Platform: AWSEducation:MTech: Communication SystemsBTech: Electronics and Communication,",General / Other Software,2 to 5 Yrs," Sep 18, 2020
                                ",https://www.shine.com/jobs/lead-ii-data-analysis/us-technology/11000238/
419,Space Consultants,Home Based Recruiting  (all Over India ),NA,"Job DescriptionWe are looking for Home Based Recruiters Location- It is home based so it can be any part of India This is home base work and not a part time assignment. Candidates, who want to work only for 1- 2 hours daily, need not apply. Selected candidates have to devote atleast 5-8 hours from their home on this work. People who do not have any experience in similar field, can also apply as online training will be provided. Candidate must have internet, Computer at home. Candidate must be atleast graduate. Candidate should have good english communication skill. Those who are in active service need not to apply.
Salary Less than 50 Thousand P.A. Industry HR / Recruitment / Administration / IR Work Experience 0 - 3 Years Qualification Other Bachelor Degree,",Recruitment,0 to 3 Yrs," Sep 18, 2020
                                ",https://www.shine.com/jobs/home-based-recruiting-job-all-over-india/space-consultants/9994771/
420,Rathi Personnel Training & Placement Services Pvt. Ltd.,Ios Programmer,NA,"Job DescriptioniOS development, IOS Programming
Salary 1 Lac To 2 Lac 25 Thousand P.A. Industry IT Hardware / Technical Support / Telecom Engineering Work Experience 2 - 4 Years Qualification Diploma,",General / Other Software,2 to 4 Yrs," Sep 18, 2020
                                ",https://www.shine.com/jobs/ios-programmer/rathi-personnel-training-placement-services-pvt-ltd/10037749/
421,Rathi Personnel Training & Placement Services Pvt. Ltd.,Telemarketing Executive,NA,"Job DescriptionURGENTLY REQUIRED  bpo, telecalling, telesales,telemarketing,customer handling,voice process,customer support
Salary 1 Lac To 2 Lac P.A. Industry ITES / BPO / KPO / LPO / Customer Service / Operations Work Experience 0 - 1 Years Qualification Other Bachelor Degree,",Marketing / Communication,0 to 1 Yr," Sep 18, 2020
                                ",https://www.shine.com/jobs/telemarketing-executive/rathi-personnel-training-placement-services-pvt-ltd/10038370/
